parameter,median,hpd_min,hpd_max
n_sr__694,216.10631134743062,169.4493392744848,269.19744537166724
n_sr__693,216.10631134743062,169.4493392744848,269.19744537166724
n_sr__692,378.7684604815858,296.99301684638937,471.8210278693672
n_sr__691,216.10631134743062,169.4493392744848,269.19744537166724
n_sr__690,306.5590060229981,240.37345644999112,381.8717776566678
n_sr__689,303.82054614149115,238.22622523467956,378.4605565786803
n_sr__688,303.82054614149115,238.22622523467956,378.4605565786803
n_sr__687,303.82054614149115,238.22622523467956,378.4605565786803
n_sr__686,336.64438101089144,263.9634519560814,419.34826799742916
n_sr__685,364.9390931032002,286.14938553252114,454.5941808321119
n_sr__684,336.64438101089144,263.9634519560814,419.34826799742916
n_sr__683,401.66367598438836,314.94519563888974,500.3409423788493
n_sr__682,297.61078246320494,233.35713859960848,370.72523173724653
n_sr__681,372.98225537515896,292.45604323336795,464.61331781529844
n_sr__680,213.1538308363054,167.13429410661533,265.51962492232946
n_sr__679,317.8040188653836,249.19069082132768,395.87936823311844
n_sr__678,404.6711999396245,317.30340046821397,504.0873288707368
n_sr__677,404.6711999396245,317.30340046821397,504.0873288707368
n_sr__676,404.6711999396245,317.30340046821397,504.0873288707368
n_sr__675,506.1905779204243,396.90492351095,630.5471117329597
n_sr__674,409.1534622323999,320.817950224906,509.67075469100837
n_sr__673,409.1534622323999,320.817950224906,509.67075469100837
n_sr__672,409.1534622323999,320.817950224906,509.67075469100837
n_sr__671,359.5423764106004,281.91781047064137,447.87164534490495
n_sr__670,359.5423764106004,281.91781047064137,447.87164534490495
n_sr__669,289.5983605754186,227.0745844881227,360.7443871705903
n_sr__668,289.5983605754186,227.0745844881227,360.7443871705903
n_sr__667,285.9234322543042,224.1930667202645,356.1666341665259
n_sr__666,367.01392168293063,287.77626227550485,457.17873539585895
n_sr__665,338.6700538038368,265.55178556008735,421.871590604806
n_sr__664,389.0173481137681,305.02918768630394,484.58777378845883
n_sr__663,389.0173481137681,305.02918768630394,484.58777378845883
n_sr__662,301.3861083241527,236.3173782552426,375.4280470825089
n_sr__661,301.3861083241527,236.3173782552426,375.4280470825089
n_sr__660,314.48230942100406,246.5861325967091,391.7416098718814
n_sr__659,432.44393910681714,339.08005415491505,538.6830349756007
n_sr__658,317.3822057543921,248.85994641821804,395.35392771638755
n_sr__657,317.3822057543921,248.85994641821804,395.35392771638755
n_sr__656,367.18430879500437,287.9098631101208,457.39098174354086
n_sr__655,367.18430879500437,287.9098631101208,457.39098174354086
n_sr__654,409.1534622323999,320.817950224906,509.67075469100837
n_sr__653,285.9234322543042,224.1930667202645,356.1666341665259
n_sr__652,432.44393910681714,339.08005415491505,538.6830349756007
