Time (s),Trace #1 (pA),Trace #1 (mmHg)
18.6354,7.01904,1.06812
18.6355,8.69751,1.06812
18.6356,8.39233,1.06812
18.6357,6.10352,1.06812
18.6358,5.34058,1.06812
18.6359,9.15527,1.2207
18.636,8.54492,1.2207
18.6361,7.78198,1.2207
18.6362,8.69751,1.2207
18.6363,10.8337,1.2207
18.6364,8.23975,1.2207
18.6365,8.23975,1.2207
18.6366,7.32422,1.2207
18.6367,6.56128,1.2207
18.6368,9.46045,1.2207
18.6369,7.17163,1.2207
18.637,8.8501,1.06812
18.6371,7.62939,1.06812
18.6372,6.10352,1.06812
18.6373,5.64575,1.2207
18.6374,7.93457,1.2207
18.6375,7.47681,1.2207
18.6376,8.69751,1.2207
18.6377,6.56128,1.2207
18.6378,9.00269,1.2207
18.6379,8.54492,1.2207
18.638,8.8501,1.2207
18.6381,9.61304,1.2207
18.6382,8.8501,1.06812
18.6383,9.15527,1.06812
18.6384,8.69751,1.2207
18.6385,8.08716,1.2207
18.6386,6.71387,1.2207
18.6387,7.78198,1.2207
18.6388,7.32422,1.2207
18.6389,7.93457,1.2207
18.639,7.93457,1.06812
18.6391,7.17163,1.06812
18.6392,9.00269,1.06812
18.6393,6.2561,1.06812
18.6394,6.56128,1.06812
18.6395,8.54492,1.06812
18.6396,8.54492,1.2207
18.6397,6.56128,1.2207
18.6398,9.91821,1.2207
18.6399,7.01904,1.2207
18.64,6.86646,1.2207
18.6401,7.62939,1.2207
18.6402,9.76563,1.2207
18.6403,8.39233,1.2207
18.6404,8.8501,1.2207
18.6405,6.71387,1.2207
18.6406,9.15527,1.2207
18.6407,6.71387,1.2207
18.6408,8.39233,1.2207
18.6409,5.95093,1.2207
18.641,9.00269,1.2207
18.6411,10.6812,1.2207
18.6412,8.69751,1.2207
18.6413,9.91821,1.2207
18.6414,8.8501,1.06812
18.6415,7.47681,1.06812
18.6416,6.71387,1.06812
18.6417,7.32422,1.06812
18.6418,6.10352,1.06812
18.6419,8.23975,1.06812
18.642,9.46045,1.06812
18.6421,8.54492,1.06812
18.6422,8.54492,1.2207
18.6423,9.30786,1.2207
18.6424,8.23975,1.06812
18.6425,9.91821,1.06812
18.6426,7.32422,1.06812
18.6427,6.56128,1.06812
18.6428,5.64575,1.06812
18.6429,8.8501,1.06812
18.643,5.64575,1.06812
18.6431,7.01904,1.06812
18.6432,8.23975,1.06812
18.6433,8.23975,1.06812
18.6434,8.8501,1.06812
18.6435,8.54492,1.2207
18.6436,7.93457,1.06812
18.6437,7.93457,1.06812
18.6438,9.30786,1.06812
18.6439,10.5286,1.06812
18.644,7.17163,1.06812
18.6441,7.17163,1.06812
18.6442,11.1389,1.2207
18.6443,6.10352,1.2207
18.6444,7.62939,1.06812
18.6445,8.69751,1.06812
18.6446,7.47681,1.06812
18.6447,9.30786,1.06812
18.6448,8.8501,1.2207
18.6449,8.39233,1.06812
18.645,7.17163,1.06812
18.6451,7.93457,1.06812
18.6452,8.23975,1.06812
18.6453,7.32422,1.06812
18.6454,9.00269,1.06812
18.6455,7.17163,1.06812
18.6456,9.15527,1.06812
18.6457,6.40869,1.06812
18.6458,7.62939,1.06812
18.6459,5.64575,1.06812
18.646,7.47681,1.06812
18.6461,9.61304,1.2207
18.6462,8.8501,1.2207
18.6463,7.17163,1.2207
18.6464,8.08716,1.2207
18.6465,8.8501,1.06812
18.6466,8.8501,1.06812
18.6467,7.93457,1.06812
18.6468,7.32422,1.06812
18.6469,8.39233,1.06812
18.647,10.0708,1.06812
18.6471,9.00269,1.06812
18.6472,9.30786,1.2207
18.6473,8.23975,1.06812
18.6474,8.08716,1.06812
18.6475,7.01904,1.06812
18.6476,7.47681,1.06812
18.6477,10.0708,1.06812
18.6478,9.46045,1.06812
18.6479,7.62939,1.06812
18.648,10.2234,1.06812
18.6481,5.79834,1.06812
18.6482,9.00269,1.06812
18.6483,7.62939,1.06812
18.6484,8.23975,1.06812
18.6485,7.93457,1.06812
18.6486,9.15527,1.06812
18.6487,9.15527,1.06812
18.6488,7.93457,1.06812
18.6489,6.10352,1.06812
18.649,9.15527,1.06812
18.6491,8.23975,1.06812
18.6492,8.08716,1.06812
18.6493,8.39233,1.06812
18.6494,5.95093,1.06812
18.6495,7.93457,1.06812
18.6496,8.08716,1.06812
18.6497,8.54492,1.06812
18.6498,8.39233,1.06812
18.6499,7.93457,1.2207
18.65,8.54492,1.2207
18.6501,6.86646,1.2207
18.6502,7.93457,1.06812
18.6503,5.49316,1.06812
18.6504,9.46045,1.06812
18.6505,8.08716,1.06812
18.6506,8.23975,1.06812
18.6507,8.39233,1.06812
18.6508,8.54492,1.06812
18.6509,7.93457,1.06812
18.651,8.08716,1.06812
18.6511,7.32422,1.06812
18.6512,8.8501,1.06812
18.6513,8.54492,1.06812
18.6514,7.47681,1.06812
18.6515,6.86646,1.06812
18.6516,7.01904,0.915527
18.6517,7.47681,1.06812
18.6518,7.01904,1.06812
18.6519,10.376,1.06812
18.652,9.00269,1.06812
18.6521,7.17163,0.915527
18.6522,8.8501,0.915527
18.6523,7.62939,0.915527
18.6524,8.23975,0.915527
18.6525,9.30786,0.915527
18.6526,7.32422,1.06812
18.6527,6.10352,1.06812
18.6528,8.39233,1.06812
18.6529,9.46045,1.06812
18.653,7.78198,1.06812
18.6531,6.2561,1.06812
18.6532,6.2561,1.06812
18.6533,8.39233,1.06812
18.6534,8.39233,1.06812
18.6535,8.39233,1.06812
18.6536,8.23975,1.06812
18.6537,8.54492,1.06812
18.6538,9.00269,1.06812
18.6539,7.17163,1.06812
18.654,9.30786,1.2207
18.6541,9.15527,1.2207
18.6542,8.23975,1.06812
18.6543,8.8501,1.06812
18.6544,9.00269,1.06812
18.6545,5.64575,1.06812
18.6546,7.17163,1.06812
18.6547,9.00269,1.06812
18.6548,8.39233,1.06812
18.6549,10.6812,1.06812
18.655,5.79834,1.06812
18.6551,8.08716,1.06812
18.6552,6.56128,1.06812
18.6553,9.15527,1.06812
18.6554,9.15527,1.06812
18.6555,6.2561,1.06812
18.6556,7.47681,1.06812
18.6557,8.23975,1.06812
18.6558,9.00269,1.06812
18.6559,7.32422,1.06812
18.656,7.78198,1.06812
18.6561,8.08716,1.06812
18.6562,8.8501,1.06812
18.6563,10.2234,1.06812
18.6564,8.23975,1.06812
18.6565,8.08716,1.06812
18.6566,6.10352,1.06812
18.6567,7.47681,1.06812
18.6568,9.46045,1.06812
18.6569,9.00269,1.06812
18.657,7.47681,0.915527
18.6571,9.46045,0.915527
18.6572,6.56128,0.915527
18.6573,7.01904,0.915527
18.6574,7.17163,0.915527
18.6575,6.56128,0.915527
18.6576,9.30786,1.06812
18.6577,9.15527,1.06812
18.6578,7.32422,1.06812
18.6579,7.01904,1.06812
18.658,8.23975,1.06812
18.6581,6.40869,1.06812
18.6582,6.71387,1.06812
18.6583,8.69751,1.06812
18.6584,8.08716,1.06812
18.6585,7.78198,1.06812
18.6586,9.00269,1.06812
18.6587,8.69751,1.06812
18.6588,8.54492,1.06812
18.6589,7.17163,1.06812
18.659,8.08716,1.06812
18.6591,6.2561,1.06812
18.6592,8.08716,1.06812
18.6593,8.39233,1.06812
18.6594,9.15527,1.06812
18.6595,7.93457,1.06812
18.6596,8.08716,1.06812
18.6597,8.39233,1.06812
18.6598,6.71387,1.06812
18.6599,9.15527,1.06812
18.66,7.17163,1.06812
18.6601,8.8501,1.06812
18.6602,7.78198,1.06812
18.6603,8.08716,1.06812
18.6604,8.54492,1.06812
18.6605,5.95093,1.06812
18.6606,8.69751,1.06812
18.6607,8.39233,1.06812
18.6608,8.39233,1.06812
18.6609,8.54492,1.06812
18.661,8.54492,1.06812
18.6611,7.62939,0.915527
18.6612,7.93457,0.915527
18.6613,7.47681,0.915527
18.6614,6.56128,0.915527
18.6615,9.46045,0.915527
18.6616,9.15527,1.06812
18.6617,9.15527,1.06812
18.6618,8.23975,1.06812
18.6619,9.15527,1.06812
18.662,9.61304,1.06812
18.6621,7.62939,1.06812
18.6622,7.01904,1.06812
18.6623,6.86646,1.06812
18.6624,8.69751,1.06812
18.6625,9.46045,1.06812
18.6626,8.08716,1.06812
18.6627,8.08716,1.06812
18.6628,7.62939,1.06812
18.6629,6.71387,1.06812
18.663,9.46045,1.06812
18.6631,7.93457,1.06812
18.6632,4.57764,1.06812
18.6633,8.54492,1.06812
18.6634,7.93457,0.915527
18.6635,8.54492,0.915527
18.6636,8.39233,1.06812
18.6637,6.86646,1.06812
18.6638,9.46045,1.06812
18.6639,8.08716,1.06812
18.664,8.54492,1.06812
18.6641,8.54492,1.06812
18.6642,7.17163,1.06812
18.6643,7.32422,1.06812
18.6644,7.62939,0.915527
18.6645,7.32422,0.915527
18.6646,10.376,0.915527
18.6647,7.78198,0.915527
18.6648,9.00269,0.915527
18.6649,7.62939,1.06812
18.665,7.78198,1.06812
18.6651,7.47681,1.06812
18.6652,7.62939,1.06812
18.6653,7.78198,1.06812
18.6654,8.39233,1.06812
18.6655,8.69751,1.06812
18.6656,9.00269,1.06812
18.6657,9.00269,1.06812
18.6658,8.54492,1.06812
18.6659,8.23975,1.06812
18.666,8.69751,1.06812
18.6661,7.78198,1.06812
18.6662,8.54492,1.06812
18.6663,8.69751,1.06812
18.6664,8.23975,1.06812
18.6665,8.8501,1.06812
18.6666,8.69751,1.06812
18.6667,7.62939,1.2207
18.6668,8.54492,1.06812
18.6669,8.08716,0.915527
18.667,7.62939,0.915527
18.6671,7.93457,0.915527
18.6672,9.30786,1.06812
18.6673,7.62939,1.06812
18.6674,8.54492,1.06812
18.6675,6.10352,1.06812
18.6676,7.01904,1.06812
18.6677,5.49316,1.06812
18.6678,8.54492,1.06812
18.6679,8.8501,1.06812
18.668,7.32422,0.915527
18.6681,9.00269,1.06812
18.6682,9.00269,1.06812
18.6683,7.47681,0.915527
18.6684,7.78198,1.06812
18.6685,8.8501,1.06812
18.6686,8.8501,1.06812
18.6687,8.8501,1.06812
18.6688,8.8501,1.06812
18.6689,9.15527,1.06812
18.669,6.10352,1.06812
18.6691,7.78198,1.06812
18.6692,8.39233,1.06812
18.6693,8.54492,1.06812
18.6694,8.69751,1.06812
18.6695,7.78198,1.06812
18.6696,8.08716,1.06812
18.6697,6.71387,1.06812
18.6698,9.30786,1.06812
18.6699,9.76563,1.06812
18.67,8.69751,1.06812
18.6701,7.93457,0.915527
18.6702,6.71387,0.915527
18.6703,7.93457,0.915527
18.6704,9.76563,0.915527
18.6705,8.69751,1.06812
18.6706,6.71387,0.915527
18.6707,6.86646,0.915527
18.6708,9.91821,0.915527
18.6709,6.71387,1.06812
18.671,8.23975,0.915527
18.6711,7.17163,0.915527
18.6712,7.32422,0.915527
18.6713,8.08716,1.2207
18.6714,7.32422,1.06812
18.6715,6.2561,1.06812
18.6716,10.8337,1.06812
18.6717,7.01904,1.06812
18.6718,7.01904,1.06812
18.6719,7.32422,0.915527
18.672,9.00269,0.915527
18.6721,10.8337,0.915527
18.6722,6.71387,0.915527
18.6723,8.39233,0.915527
18.6724,7.78198,1.06812
18.6725,6.71387,1.06812
