parameter,median,hpd_min,hpd_max
n_sr__694,215.9145961946499,170.46224050121654,267.06416592740203
n_sr__693,215.9145961946499,170.46224050121654,267.06416592740203
n_sr__692,378.43244228379706,298.768323804696,468.08203956382755
n_sr__691,215.9145961946499,170.46224050121654,267.06416592740203
n_sr__690,306.2870472527542,241.8103140379546,378.8456003001358
n_sr__689,303.55101675080255,239.6502475224797,375.46141175135926
n_sr__688,303.55101675080255,239.6502475224797,375.46141175135926
n_sr__687,303.55101675080255,239.6502475224797,375.46141175135926
n_sr__686,336.34573249601993,265.5413212203903,416.0251048118646
n_sr__685,364.6153434007797,287.85987354548956,450.99170823021626
n_sr__684,336.34573249601993,265.5413212203903,416.0251048118646
n_sr__683,401.30734667346877,316.8278136318649,496.3759454375617
n_sr__682,297.3467619620295,234.7520554105337,367.78738618955333
n_sr__681,372.65137031387644,294.2042299552786,460.9314476583999
n_sr__680,212.96473492795462,168.13335690765288,263.4154906980474
n_sr__679,317.5220842673091,250.6802543540257,392.74218646122443
n_sr__678,404.31220255339065,319.2001148782937,500.09264335167546
n_sr__677,404.31220255339065,319.2001148782937,500.09264335167546
n_sr__676,404.31220255339065,319.2001148782937,500.09264335167546
n_sr__675,505.74151929100674,399.2774643874234,625.5502842547361
n_sr__674,408.79048848103855,322.7356732253715,505.631822810268
n_sr__673,408.79048848103855,322.7356732253715,505.631822810268
n_sr__672,408.79048848103855,322.7356732253715,505.631822810268
n_sr__671,359.2234143164584,283.60300379913633,444.32244608202035
n_sr__670,359.2234143164584,283.60300379913633,444.32244608202035
n_sr__669,289.3414481622799,228.43194667184326,357.8856357261902
n_sr__668,289.3414481622799,228.43194667184326,357.8856357261902
n_sr__667,285.66977999326457,225.53320432881463,353.3441595388356
n_sr__666,366.68833133052783,289.4964751151133,453.55578125813065
n_sr__665,338.3696082467292,267.1391492553739,418.5284311215717
n_sr__664,388.6722377842133,306.8525317000327,480.7476142529999
n_sr__663,388.6722377842133,306.8525317000327,480.7476142529999
n_sr__662,301.1187386048554,237.72999020969243,372.45293365029926
n_sr__661,301.1187386048554,237.72999020969243,372.45293365029926
n_sr__660,314.2033216227229,248.06012710900194,388.63721813945153
n_sr__659,432.0603035927129,341.1069408001172,534.4141926621037
n_sr__658,317.1006453608677,250.3475328915007,392.2209098452765
n_sr__657,317.1006453608677,250.3475328915007,392.2209098452765
n_sr__656,366.858567286483,289.6308745627533,453.7663456404804
n_sr__655,366.858567286483,289.6308745627533,453.7663456404804
n_sr__654,408.79048848103855,322.7356732253715,505.631822810268
n_sr__653,285.66977999326457,225.53320432881463,353.3441595388356
n_sr__652,432.0603035927129,341.1069408001172,534.4141926621037
n_sr__651,505.74151929100674,399.2774643874234,625.5502842547361
n_sr__650,317.5220842673091,250.6802543540257,392.74218646122443
n_sr__649,301.1187386048554,237.72999020969243,372.45293365029926
n_sr__648,345.30591013268565,272.615284639973,427.1079237100377
n_sr__647,359.2234143164584,283.60300379913633,444.32244608202035
n_sr__646,445.95683307647556,352.07810066027724,551.6027714857461
n_sr__645,445.95683307647556,352.07810066027724,551.6027714857461
n_sr__644,242.36464461272465,191.34426790544998,299.7801575463492
n_sr__643,242.36464461272465,191.34426790544998,299.7801575463492
n_sr__642,309.76321598881094,244.5547116912486,383.14526378041757
n_sr__641,309.76321598881094,244.5547116912486,383.14526378041757
n_sr__640,307.87771912256096,243.06613229020968,380.81309792957427
n_sr__639,270.0343858428449,213.1892296046723,334.00478382584026
n_sr__638,270.0343858428449,213.1892296046723,334.00478382584026
n_sr__637,307.87771912256096,243.06613229020968,380.81309792957427
n_sr__636,350.95122205839215,277.0721974015199,434.09059439284624
n_sr__635,350.95122205839215,277.0721974015199,434.09059439284624
n_sr__634,312.35214615205695,246.59864407889617,386.34750432773217
n_sr__633,363.6535212690761,287.10052536605457,449.8020330998588
n_sr__632,397.2946972399035,313.65987026515137,491.41271046863875
n_sr__631,390.27099508792446,308.11473331498325,482.7251127332371
n_sr__630,390.27099508792446,308.11473331498325,482.7251127332371
n_sr__629,309.655012918137,244.4692865362046,383.01142770203467
n_sr__628,199.8641296283329,157.79057059003682,247.2113882929768
n_sr__627,199.8641296283329,157.79057059003682,247.2113882929768
n_sr__626,203.70165858446708,160.82025823218768,251.95801722846707
n_sr__625,264.31927201839915,208.67720899835706,326.93577536783965
n_sr__624,372.2458885611313,293.8841064931622,460.4299084016559
n_sr__623,372.2458885611313,293.8841064931622,460.4299084016559
n_sr__622,359.6732697215474,283.9581597802722,444.878870986429
n_sr__621,377.2583669076747,297.8414039824219,466.629828983412
n_sr__620,269.8530740689397,213.0460859184471,333.7805197949492
n_sr__619,387.01630570106806,305.54519121455536,478.69939644646064
n_sr__618,258.64931726124075,204.20084098767182,319.92262403507146
n_sr__617,293.0115909244961,231.3294847226876,362.4252251421003
n_sr__616,397.2946972399035,313.65987026515137,491.41271046863875
n_sr__615,203.70165858446708,160.82025823218768,251.95801722846707
n_sr__614,249.2122820950097,196.75040370146684,308.2499813795236
n_sr__613,402.7273502486738,317.94889110979034,498.1323439261761
n_sr__612,402.7273502486738,317.94889110979034,498.1323439261761
n_sr__611,304.7086652300216,240.56419848715933,376.89330394849935
n_sr__610,377.2583669076747,297.8414039824219,466.629828983412
n_sr__609,377.2583669076747,297.8414039824219,466.629828983412
n_sr__608,377.2583669076747,297.8414039824219,466.629828983412
n_sr__607,387.01630570106806,305.54519121455536,478.69939644646064
n_sr__606,258.64931726124075,204.20084098767182,319.92262403507146
n_sr__605,293.0115909244961,231.3294847226876,362.4252251421003
n_sr__604,343.84052395476874,271.4583780876155,425.2953916058435
n_sr__603,343.84052395476874,271.4583780876155,425.2953916058435
n_sr__602,309.655012918137,244.4692865362046,383.01142770203467
n_sr__601,317.7085462002674,250.8274640351702,392.9728207095817
n_sr__600,317.7085462002674,250.8274640351702,392.9728207095817
n_sr__599,309.0343549108123,243.97928374631348,382.2437375320616
