parameter,median,hpd_min,hpd_max
n_sr__694,216.6907019497137,168.82221925568996,266.3910598476885
n_sr__693,216.6907019497137,168.82221925568996,266.3910598476885
n_sr__692,379.79271899290165,295.89386669859834,466.90228987505515
n_sr__691,216.6907019497137,168.82221925568996,266.3910598476885
n_sr__690,307.3879970924772,239.48385129028898,377.89076131621886
n_sr__689,304.64213191952126,237.34456682582265,374.5151022452896
n_sr__688,304.64213191952126,237.34456682582265,374.5151022452896
n_sr__687,304.64213191952126,237.34456682582265,374.5151022452896
n_sr__686,337.554728382736,262.98654189163017,414.9765589450318
n_sr__685,365.9259545006555,285.09036689720733,449.8550328561315
n_sr__684,337.554728382736,262.98654189163017,414.9765589450318
n_sr__683,402.7498473046993,313.77960574722033,495.1248840473623
n_sr__682,298.4155759156738,232.4935003359771,366.8604182272793
n_sr__681,373.99086693999743,291.37368410399955,459.7697202560259
n_sr__680,213.73023739659834,166.51574190623396,262.75158070599036
n_sr__679,318.66341848603673,248.26845370089706,391.7523226487244
n_sr__678,405.7655041493667,316.12908302727686,498.83221443006744
n_sr__677,405.7655041493667,316.12908302727686,498.83221443006744
n_sr__676,405.7655041493667,316.12908302727686,498.83221443006744
n_sr__675,507.5594089131729,395.43600646378025,623.9736530431461
n_sr__674,410.25988729111,319.63062568391814,504.3574329914454
n_sr__673,410.25988729111,319.63062568391814,504.3574329914454
n_sr__672,410.25988729111,319.63062568391814,504.3574329914454
n_sr__671,360.51464410878486,280.8744525953146,443.20257985521886
n_sr__670,360.51464410878486,280.8744525953146,443.20257985521886
n_sr__669,290.38148698807004,226.23419751286664,356.9836240451662
n_sr__668,290.38148698807004,226.23419751286664,356.9836240451662
n_sr__667,286.6966209952536,223.3633440384455,352.453594152832
n_sr__666,368.0063937926126,286.71122268444105,452.412643417852
n_sr__665,339.5858789617587,264.56899718531713,417.4735758940176
n_sr__664,390.06932147329337,303.9002962386663,479.53594236569234
n_sr__663,390.06932147329337,303.9002962386663,479.53594236569234
n_sr__662,302.2011109414532,235.44278435403584,371.51420668490283
n_sr__661,302.2011109414532,235.44278435403584,371.51420668490283
n_sr__660,315.332726537765,245.6735347620365,387.65770045154227
n_sr__659,433.61334583285225,337.8251428590372,533.067260021714
n_sr__658,318.24046471600366,247.93893335942838,391.23235985358866
n_sr__657,318.24046471600366,247.93893335942838,391.23235985358866
n_sr__656,368.17724166229414,286.84432907181827,452.6226770956596
n_sr__655,368.17724166229414,286.84432907181827,452.6226770956596
n_sr__654,410.25988729111,319.63062568391814,504.3574329914454
n_sr__653,286.6966209952536,223.3633440384455,352.453594152832
n_sr__652,433.61334583285225,337.8251428590372,533.067260021714
n_sr__651,507.5594089131729,395.43600646378025,623.9736530431461
n_sr__650,318.66341848603673,248.26845370089706,391.7523226487244
n_sr__649,302.2011109414532,235.44278435403584,371.51420668490283
n_sr__648,346.5471134085861,269.9924465419273,426.0314448078805
n_sr__647,360.51464410878486,280.8744525953146,443.20257985521886
n_sr__646,447.5598264394099,348.6907489308285,550.2125169085939
