parameter,median,hpd_min,hpd_max
n_sr__694,216.8587368066398,172.35485367690254,270.26070325426446
n_sr__693,216.8587368066398,172.35485367690254,270.26070325426446
n_sr__692,380.08723285354876,302.0854975344779,473.68459468874994
n_sr__691,216.8587368066398,172.35485367690254,270.26070325426446
n_sr__690,307.6263640258411,244.49509270224618,383.3800690045826
n_sr__689,304.878369545733,242.311043336754,379.95537451604537
n_sr__688,304.878369545733,242.311043336754,379.95537451604537
n_sr__687,304.878369545733,242.311043336754,379.95537451604537
n_sr__686,337.8164883935633,268.4895812089547,421.004581454959
n_sr__685,366.20971524745636,291.0559326130085,456.38970621492234
n_sr__684,337.8164883935633,268.4895812089547,421.004581454959
n_sr__683,403.06216348790383,320.34549879627633,502.31715522974
n_sr__682,298.64698510006576,237.3584674334132,372.1894972111558
n_sr__681,374.28088169952554,297.47072932967785,466.4484161084665
n_sr__680,213.89597653325063,170.00011288610358,266.5683563981915
n_sr__679,318.9105290517005,253.4635144524483,397.4429858159313
n_sr__678,406.08015885223017,322.7441392987332,506.0783389458852
n_sr__677,406.08015885223017,322.7441392987332,506.0783389458852
n_sr__676,406.08015885223017,322.7441392987332,506.0783389458852
n_sr__675,507.9530006634917,403.7105739583887,633.0376041147626
n_sr__674,410.5780272059434,326.3189523469777,511.68381780424215
n_sr__673,410.5780272059434,326.3189523469777,511.68381780424215
n_sr__672,410.5780272059434,326.3189523469777,511.68381780424215
n_sr__671,360.79420860369623,286.75179956807693,449.64061851122636
n_sr__670,360.79420860369623,286.75179956807693,449.64061851122636
n_sr__669,290.6066660621189,230.96818760559802,362.1692309789417
n_sr__668,290.6066660621189,230.96818760559802,362.1692309789417
n_sr__667,286.91894260507195,228.0372610208558,357.5733970753375
n_sr__666,368.2917678357645,292.710705090658,458.9844690776713
n_sr__665,339.8492140475377,270.10514965602374,423.5378705114933
n_sr__664,390.3718044226551,310.259463010923,486.50176583834406
n_sr__663,390.3718044226551,310.259463010923,486.50176583834406
n_sr__662,302.4354556548306,240.36946573461586,376.910887418744
n_sr__661,302.4354556548306,240.36946573461586,376.910887418744
n_sr__660,315.5772542868152,250.81429638161276,393.28888441626844
n_sr__659,433.9495954082731,344.8941929714955,540.8106888334165
n_sr__658,318.48724729816104,253.12709884028664,396.9154699497466
n_sr__657,318.48724729816104,253.12709884028664,396.9154699497466
n_sr__656,368.4627481910446,292.8465967524369,459.19755374163793
n_sr__655,368.4627481910446,292.8465967524369,459.19755374163793
n_sr__654,410.5780272059434,326.3189523469777,511.68381780424215
n_sr__653,286.91894260507195,228.0372610208558,357.5733970753375
n_sr__652,433.9495954082731,344.8941929714955,540.8106888334165
n_sr__651,507.9530006634917,403.7105739583887,633.0376041147626
n_sr__650,318.9105290517005,253.4635144524483,397.4429858159313
n_sr__649,302.4354556548306,240.36946573461586,376.910887418744
n_sr__648,346.8158466495411,275.6420856375777,432.2200525349471
n_sr__647,360.79420860369623,286.75179956807693,449.64061851122636
n_sr__646,447.90689094529296,355.98716374791974,558.2050007385252
n_sr__645,447.90689094529296,355.98716374791974,558.2050007385252
n_sr__644,243.42444468146607,193.4687306689631,303.36827825180586
n_sr__643,243.42444468146607,193.4687306689631,303.36827825180586
n_sr__642,311.11773317972825,247.26996093449463,387.73119590287826
n_sr__641,311.11773317972825,247.26996093449463,387.73119590287826
n_sr__640,309.2239915065195,245.76485409031537,385.3711159544294
n_sr__639,271.215178780429,215.55623325121465,338.00254501983045
n_sr__638,271.215178780429,215.55623325121465,338.00254501983045
n_sr__637,309.2239915065195,245.76485409031537,385.3711159544294
n_sr__636,352.4858441145782,280.1484827411734,439.2863000143703
n_sr__635,352.4858441145782,280.1484827411734,439.2863000143703
n_sr__634,313.71798408808274,249.3365867547505,390.97176462276354
n_sr__633,365.2436873077525,290.28815352028084,455.185791656569
n_sr__632,399.0319677403853,317.1423822948085,497.2945144405526
n_sr__631,391.97755269282123,311.53567863507465,488.5029333409076
n_sr__630,391.97755269282123,311.53567863507465,488.5029333409076
n_sr__629,311.0090569640463,247.1835873185276,387.5957579172581
