area,date,eccentricity,exposure_ms,intensity,mean_bg,rbs,replicate_number,scaled_intensity,experiment,effective_channels
4.3776,20170721,,50.0,283635.3924265942,109263.60715844,mlg910,1.0,348743.57053630846,cal,517.999313204908
7.808000000000002,20170721,,50.0,219939.63543822328,109263.60715844,mlg910,1.0,221352.05655956655,cal,328.78086640571314
7.372800000000002,20170721,,50.0,237910.26163896048,109263.60715844,mlg910,1.0,257293.30896104092,cal,382.1654894714728
6.195200000000002,20170721,,50.0,198691.94947085946,109953.898764816,mlg910,1.0,177476.10141208692,cal,263.610590728222
4.1984,20170721,,50.0,306608.7355219945,109953.898764816,mlg910,1.0,393309.673514357,cal,584.1946862102002
4.7616000000000005,20170721,,50.0,223498.59420463323,109953.898764816,mlg910,1.0,227089.39087963448,cal,337.302701612171
4.096,20170721,,50.0,278551.80218366673,108519.9917760521,mlg910,1.0,340063.62081522925,cal,505.10672284902637
5.3504000000000005,20170721,,50.0,233477.81093426808,108519.9917760521,mlg910,1.0,249915.63831643193,cal,371.2072133917663
4.8896000000000015,20170721,,50.0,216862.4353252252,108519.9917760521,mlg910,1.0,216684.8870983462,cal,321.8485792475436
5.6832,20170721,,50.0,222616.72671549986,104343.05472071313,mlg910,1.0,236547.34398957345,cal,351.3508837986941
5.7344,20170721,,50.0,266176.04578174005,104343.05472071313,mlg910,1.0,323665.98212205386,cal,480.7508169661314
4.9408,20170721,,50.0,248170.27906407433,104343.05472071313,mlg910,1.0,287654.44868672243,cal,427.2618033671978
6.5792,20170721,,50.0,209130.2977474326,104343.05472071313,mlg910,1.0,209574.48605343894,cal,311.28728674196617
4.1216,20170721,,50.0,190552.23643696946,107211.27023987962,mlg910,1.0,166681.93239417966,cal,247.5776868691055
4.864,20170721,,50.0,245098.0808126853,107211.27023987962,mlg910,1.0,275773.6211456114,cal,409.614852924105
6.3232,20170721,,50.0,235137.79386339828,107211.27023987962,mlg910,1.0,255853.04724703732,cal,380.02622543416913
5.5808,20170721,,50.0,214527.74067844558,107211.27023987962,mlg910,1.0,214632.94087713194,cal,318.80076181627794
6.0416,20170721,,50.0,214127.7828034513,107211.27023987962,mlg910,1.0,213833.02512714334,cal,317.6126228966738
8.2688,20170721,,50.0,189726.00802861847,107211.27023987962,mlg910,1.0,165029.4755774777,cal,245.12324306434647
4.224,20170721,,50.0,210422.43184128695,107211.27023987962,mlg910,1.0,206422.32320281464,cal,306.6052844638384
4.9152000000000005,20170721,,50.0,251170.5365763497,109584.94039428359,mlg910,1.0,283171.1923641322,cal,420.60268792471965
11.136,20170721,,50.0,281464.2789224083,109584.94039428359,mlg910,1.0,343758.6770562494,cal,510.5951010065319
5.2992,20170721,,50.0,229321.81739656266,109584.94039428359,mlg910,1.0,239473.75400455814,cal,355.6975686009024
4.5056,20170721,,50.0,238769.75838277608,109488.77237596008,mlg910,1.0,258561.972013632,cal,384.0498728564339
5.247999999999999,20170721,,50.0,302717.8686160297,109488.77237596008,mlg910,1.0,386458.1924801392,cal,574.0179753830919
5.2736,20170721,,50.0,234946.22585916164,109488.77237596008,mlg910,1.0,250914.90696640313,cal,372.691457168924
